specimen_key,taxon_binomial,specimen_id,ecology_id_raw,geom_id_raw,tree_tip,Family,Coxal wall hole,Coxal Socket
Lissorhoptrus_oryzophilus,Lissorhoptrus oryzophilus,308_lisshorhoptrus_oryzophilus_trochanter_aligned,Lissorhoptrus_oryzophilus,308_lisshorhoptrus_oryzophilus_trochanter_aligned,Sitophilus,Curculionidae,FALSE,TRUE
Listronotus,Listronotus,309_listronotus_trochanter_aligned,Listronotus,309_listronotus_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Ormiscus_saltator,Ormiscus saltator,310_ormiscus_saltator_trochanter_aligned,Ormiscus_saltator,310_ormiscus_saltator_trochanter_mirrored_aligned,Euparius,Anthribidae,FALSE,
Neochetina,Neochetina,311_neochetina_trochanter_aligned,Neochetina,311_neochetina_trochanter_aligned,Sitophilus,Curculionidae,FALSE,TRUE
Metapocyrtus_adspersus,Metapocyrtus adspersus,312_metapocyrtus_adspersus_trochanter_aligned,Metapocyrtus_adspersus,312_metapocyrtus_adspersus_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Sitona_hispidulus,Sitona hispidulus,313_sitona_hispidulus_trochanter_aligned,Sitona_hispidulus,313_sitona_hispidulus_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Euparius_paganus,Euparius paganus,314_euparius_paganus_trochanter_aligned,Euparius_paganus,314_euparius_paganus_trochanter_aligned,Euparius,Anthribidae,FALSE,
Zygops,Zygops,315_trochanter_aligned,Zygops,315_trochanter_aligned,Larinus,Curculionidae,FALSE,TRUE
Hypera_postica,Hypera postica,316_hypera_postica_trochanter_aligned,Hypera_postica,316_hypera_postica_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Brentus,Brentus,317_brentus_trochanter_mirrored_aligned,Brentus,317_brentus_trochanter_mirrored_aligned,Arrhenodes,Brentidae,FALSE,TRUE
Car_pini,Car pini,318_car_pini_trochanter_mirrored_aligned,Car_pini,318_car_pini_trochanter_mirrored_aligned,Caridae,Caridae,FALSE,TRUE
Acalles_fallax,Acalles fallax,a_fallax_trochanter_aligned,Acalles_fallax,a_fallax_trochanter_aligned,Larinus,Curculionidae,FALSE,TRUE
Apion_frumentarium,Apion frumentarium,a_frumentarium_trochanter_aligned,Apion_frumentarium,a_frumentarium_trochanter_aligned,Arrhenodes,Brentidae,FALSE,TRUE
Apion_haematodes,Apion haematodes,a_haematodes_trochanter_aligned,Apion_haematodes,a_haematodes_trochanter_aligned,Arrhenodes,Brentidae,FALSE,TRUE
Aspidapion_validum,Aspidapion validum,a_validum_trochanter_aligned,Aspidapion_validum,a_validum_trochanter_aligned,Arrhenodes,Brentidae,FALSE,TRUE
Adexius_scrobipennis,Adexius scrobipennis,adexius_scrobipennis_trochanter_aligned,Adexius_scrobipennis,adexius_scrobipennis_trochanter_aligned,Larinus,Curculionidae,TRUE,TRUE
Archarius_pyrrhoceras,Archarius pyrrhoceras,archarius_pyrrhoceras_trochanter_aligned,Archarius_pyrrhoceras,archarius_pyrrhoceras_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Brachytemnus_porcatus,Brachytemnus porcatus,b_porcatus_trochanter_aligned,Brachytemnus_porcatus,b_porcatus_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Barypeithes_araneiformis,Barypeithes araneiformis,barypeithes_araneiformis_trochanter_aligned,Barypeithes_araneiformis,barypeithes_araneiformis_trochanter_aligned,Diaprepes,Curculionidae,TRUE,TRUE
Brachysomus_hirtus,Brachysomus hirtus,brachysomus_hirtus_trochanter_aligned,Brachysomus_hirtus,brachysomus_hirtus_trochanter_aligned,Diaprepes,Curculionidae,TRUE,TRUE
Cimberis_attelaboides,Cimberis attelaboides,c_attelaboides_trochanter_aligned,Cimberis_attelaboides,c_attelaboides_trochanter_aligned,Rhynchitomacerinus,Nemonychidae,FALSE,TRUE
Coeliodes_cinctus,Coeliodes cinctus,c_cinctus_trochanter_aligned,Coeliodes_cinctus,c_cinctus_trochanter_aligned,Nedyus,Curculionidae,FALSE,TRUE
Curculio_glandium,Curculio glandium,c_glandium_trochanter_aligned,Curculio_glandium,c_glandium_trochanter_aligned,Curculio,Curculionidae,TRUE,TRUE
Cionus_tuberculosus,Cionus tuberculosus,c_tuberculosus_trochanter_aligned,Cionus_tuberculosus,c_tuberculosus_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Cleopus_solani,Cleopus solani,cleopus_solani_trochanter_aligned,Cleopus_solani,cleopus_solani_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Coenorhinus_pauxillus,Coenorhinus pauxillus,coenorhinus_pauxillus_trochanter_aligned,Coenorhinus_pauxillus,coenorhinus_pauxillus_trochanter_aligned,Synolabus,Attelabidae,TRUE,TRUE
Dorytomus_taeniatus,Dorytomus taeniatus,dorytomus_taeniatus_trochanter_aligned,Dorytomus_taeniatus,dorytomus_taeniatus_trochanter_aligned,Larinus,Curculionidae,TRUE,TRUE
Dryophthorus_corticalis,Dryophthorus corticalis,dryophthorus_corticalis_trochanter_aligned,Dryophthorus_corticalis,dryophthorus_corticalis_trochanter_aligned,Sitophilus,Curculionidae,FALSE,TRUE
Echinodera_hypocrita,Echinodera hypocrita,e_hypocrita_trochanter_aligned,Echinodera_hypocrita,e_hypocrita_trochanter_aligned,Curculio,Curculionidae,TRUE,TRUE
Echinodera_micros,Echinodera micros,e_micros_trochanter_aligned,Echinodera_micros,e_micros_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Hylesinus_crenatus,Hylesinus crenatus,hylesinus_crenatus_trochanter_aligned,Hylesinus_crenatus,hylesinus_crenatus_trochanter_aligned,Dendroctonus,Curculionidae,FALSE,TRUE
Hylurgops_palliatus,Hylurgops palliatus,hylurgops_palliatus_trochanter_aligned,Hylurgops_palliatus,hylurgops_palliatus_trochanter_aligned,Dendroctonus,Curculionidae,FALSE,TRUE
Larinus_turbinatus,Larinus turbinatus,larinus_turbinatus_trochanter_aligned,Larinus_turbinatus,larinus_turbinatus_trochanter_aligned,Larinus,Curculionidae,FALSE,TRUE
Leiosoma_deflexum,Leiosoma deflexum,leiosoma_deflexum_trochanter_aligned,Leiosoma_deflexum,leiosoma_deflexum_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Leperisinus_fraxini,Leperisinus fraxini,leperisinus_fraxini_trochanter_aligned,Leperisinus_fraxini,leperisinus_fraxini_trochanter_aligned,Dendroctonus,Curculionidae,FALSE,TRUE
Limnobaris,Limnobaris,limnobaris_t_trochanter_aligned,Limnobaris,limnobaris_t_trochanter_aligned,Curculio,Curculionidae,TRUE,TRUE
Nanophyes_marmoratus,Nanophyes marmoratus,n_marmoratus_trochanter_aligned,Nanophyes_marmoratus,n_marmoratus_trochanter_aligned,Nanophyes,Brentidae,FALSE,TRUE
Nedyus_quadrimaculatus,Nedyus quadrimaculatus,n_quadrimaculatus_trochanter_mirrored_aligned,Nedyus_quadrimaculatus,n_quadrimaculatus_trochanter_mirrored_aligned,Nedyus,Curculionidae,FALSE,TRUE
Orchestes_testaceus,Orchestes testaceus,orchestes_testaceus_trochanter_aligned,Orchestes_testaceus,orchestes_testaceus_trochanter_aligned,Nedyus,Curculionidae,TRUE,TRUE
Otiorhynchus_singularis,Otiorhynchus singularis,otiorynchus_singularis_trochanter_aligned,Otiorhynchus_singularis,otiorynchus_singularis_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Oxystoma,Oxystoma,oxystoma_trochanter_aligned,Oxystoma,oxystoma_trochanter_aligned,Arrhenodes,Brentidae,FALSE,TRUE
Parethelcus_pollinarius,Parethelcus pollinarius,p_pollinarius_trochanter_aligned,Parethelcus_pollinarius,p_pollinarius_trochanter_aligned,Nedyus,Curculionidae,FALSE,TRUE
Phyllobius,Phyllobius,phyllobius_trochanter_aligned,Phyllobius,phyllobius_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Polydrusus_marginatus,Polydrusus marginatus,polydrusus_marginatus_trochanter_aligned,Polydrusus_marginatus,polydrusus_marginatus_trochanter_aligned,Diaprepes,Curculionidae,TRUE,TRUE
Protapion,Protapion,protapion_trochanter_aligned,Protapion,protapion_trochanter_aligned,Nanophyes,Brentidae,FALSE,TRUE
Rhinusa_tetra,Rhinusa tetra,rhinusa_tetra_trochanter_mirrored_aligned,Rhinusa_tetra,rhinusa_tetra_trochanter_mirrored_aligned,Curculio,Curculionidae,FALSE,TRUE
Rynchites_cupreus,Rhynchites cupreus,rynchites_cupreus_trochanter_aligned,,rynchites_cupreus_trochanter_aligned,Synolabus,Attelabidae,TRUE,TRUE
Strophosoma_capitatum,Strophosoma capitatum,s_capitatum_trochanter_aligned,Strophosoma_capitatum,s_capitatum_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Strophosoma_melanogrammum,Strophosoma melanogrammum,s_melanogtammum_trochanter_aligned,Strophosoma_melanogrammum,s_melanogtammum_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Scolytus_carpini,Scolytus carpini,scolytus_carpini_trochanter_aligned,Scolytus_carpini,scolytus_carpini_trochanter_aligned,Ips,Curculionidae,FALSE,TRUE
Sibinia_pellucens,Sibinia pellucens,sibinia_pellucens_trochanter_aligned,Sibinia_pellucens,sibinia_pellucens_trochanter_aligned,Curculio,Curculionidae,FALSE,TRUE
Sitona,Sitona,sitona_trochanter_aligned,Sitona,sitona_trochanter_aligned,Diaprepes,Curculionidae,FALSE,TRUE
Trigonopterus_plicicollis,Trigonopterus plicicollis,t_plicicollis_trochanter_aligned,Trigonopterus_plicicollis,t_plicicollis_trochanter_aligned,Larinus,Curculionidae,FALSE,TRUE
Trigonopterus_pseudonasutus,Trigonopterus pseudonasutus,t_pseudonasutus_trochanter_aligned,Trigonopterus_pseudonasutus,t_pseudonasutus_trochanter_aligned,Larinus,Curculionidae,TRUE,TRUE
Urodon_rufipes,Urodon rufipes,u_rufipes_trochanter_mirrored_aligned,Urodon_rufipes,u_rufipes_trochanter_mirrored_aligned,Euparius,Anthribidae,FALSE,
Xylocleptes_bispinus,Xylocleptes bispinus,xylocleptes_bispinus_trochanter_aligned,Xylocleptes_bispinus,xylocleptes_bispinus_trochanter_aligned,Ips,Curculionidae,TRUE,TRUE
Xylosandrus_germanus,Xylosandrus germanus,xylosandrus_germanus_trochanter_aligned,Xylosandrus_germanus,xylosandrus_germanus_trochanter_aligned,Ips,Curculionidae,TRUE,TRUE
