quality_set,trait,method,n_trees,estimate_min,estimate_max,estimate_median,p_min,p_max,n_nominal_sig
main_dataset,fit_radius,Blomberg_K,15,4.17432740420727e-01,1.34517115652384e+00,1.20831108597105e+00,1.00000000000000e-03,0.20500000000000015,10
main_dataset,fit_radius,Pagel_lambda,15,9.91469477259593e-01,1.35124466900545e+00,1.06103287704981e+00,1.62309709804319e-04,0.10154614452263371,11
main_dataset,n_turns_abs,Blomberg_K,15,1.12179010469859e-01,2.17386155568514e+00,1.72977030974916e+00,1.00000000000000e-03,0.03800000000000003,15
main_dataset,n_turns_abs,Pagel_lambda,15,7.70657145869707e-01,1.14322391575357e+00,9.99926686256414e-01,7.79124562463730e-04,0.02527051929449277,15
main_dataset,start_end_dist,Blomberg_K,15,1.20308224387144e-02,7.25669305606104e-01,5.23713563320904e-01,4.53000000000000e-01,0.96900000000000075,0
main_dataset,start_end_dist,Pagel_lambda,15,4.25604988132442e-05,7.94232222204516e-05,7.33137435857406e-05,1.00000000000000e+00,1.00000000000000000,0
high_confidence,PC1,Blomberg_K,15,4.68490812386634e-01,1.73936861004007e+00,1.60882803298720e+00,1.00000000000000e-03,0.01400000000000001,15
high_confidence,PC1,Pagel_lambda,15,9.74127908444222e-01,1.30743494206518e+00,1.03682927727923e+00,1.58846514788472e-05,0.00959287988152429,15
high_confidence,PC2,Blomberg_K,15,9.80435440706464e-01,2.34935119508569e+00,1.79751050242620e+00,1.00000000000000e-03,0.00200000000000000,15
high_confidence,PC2,Pagel_lambda,15,9.89748786363052e-01,1.33970388077782e+00,1.05870404131069e+00,9.22388954820027e-07,0.00295505285379363,15
high_confidence,PC3,Blomberg_K,15,2.22600841665059e-02,9.92067393783601e-01,6.64895532448441e-01,6.50000000000000e-02,0.57300000000000040,0
high_confidence,PC3,Pagel_lambda,15,4.19561645018208e-05,9.99926686256414e-01,7.36897115015649e-05,2.87315688388640e-02,1.00000000000000000,1
high_confidence,PC4,Blomberg_K,15,7.25411737857657e-02,8.83948771213517e-01,7.92774904256758e-01,6.00000000000000e-02,0.32500000000000023,0
high_confidence,PC4,Pagel_lambda,15,4.19561645018208e-05,9.99926686256414e-01,9.39633584847138e-01,6.70195740014857e-03,1.00000000000000000,1
high_confidence,PC5,Blomberg_K,15,3.47466201902829e-02,1.12896721123737e+00,8.32697306463859e-01,3.90000000000000e-02,0.32300000000000023,3
high_confidence,PC5,Pagel_lambda,15,7.36897115015649e-05,9.99926686256414e-01,5.21974243882702e-01,9.66470281501628e-03,1.00000000000000000,1
high_confidence,abs_winding_angle_deg,Blomberg_K,15,2.27576879448536e-02,8.54552685682857e-01,7.43860258898398e-01,1.84000000000000e-01,0.87800000000000067,0
high_confidence,abs_winding_angle_deg,Pagel_lambda,15,4.25604988087315e-05,9.99926686256414e-01,7.33137435857406e-05,6.20309484129975e-01,1.00000000000000000,0
high_confidence,axial_pitch_360,Blomberg_K,15,4.43756236110259e-02,8.86352288392514e-01,7.90412810141889e-01,1.95000000000000e-01,0.64100000000000046,0
high_confidence,axial_pitch_360,Pagel_lambda,15,4.25604988087315e-05,9.99926686256414e-01,7.37501349166081e-05,4.96493883511260e-02,1.00000000000000000,1
high_confidence,axial_span,Blomberg_K,15,1.15300950338072e-02,8.00057183575302e-01,4.88548828489777e-01,3.03000000000000e-01,0.97400000000000075,0
high_confidence,axial_span,Pagel_lambda,15,4.25604988087315e-05,7.94232222204516e-05,7.33137435857406e-05,1.00000000000000e+00,1.00000000000000000,0
high_confidence,centroid_size,Blomberg_K,15,1.09868059678626e-01,2.16266613259798e+00,1.40495419106723e+00,1.00000000000000e-03,0.03300000000000002,15
high_confidence,centroid_size,Pagel_lambda,15,6.73778579692825e-01,1.15823264906076e+00,9.99926686256414e-01,3.78756695186721e-04,0.07173309835308432,12
high_confidence,fit_radius,Blomberg_K,15,2.23707443801997e-01,1.17229059389044e+00,9.53968743592375e-01,2.10000000000000e-02,0.41300000000000031,8
high_confidence,fit_radius,Pagel_lambda,15,9.56162800698137e-01,1.27034988206810e+00,1.00694741380885e+00,1.29521522107234e-02,0.53709668571023417,5
high_confidence,n_turns_abs,Blomberg_K,15,2.27576879448540e-02,8.54552685682857e-01,7.43860258898399e-01,1.82000000000000e-01,0.88200000000000067,0
high_confidence,n_turns_abs,Pagel_lambda,15,4.25604988087315e-05,9.99926686256414e-01,7.33137435857406e-05,6.20309484129990e-01,1.00000000000000000,0
high_confidence,start_end_dist,Blomberg_K,15,1.38320028379395e-02,7.47133991143491e-01,5.45391830318055e-01,4.31000000000000e-01,0.94600000000000073,0
high_confidence,start_end_dist,Pagel_lambda,15,4.25604988087315e-05,3.74845853132081e-02,7.33137435857406e-05,8.99460282956330e-01,1.00000000000000000,0
